ip,org
125.94.240.78,JOYY Inc.
54.150.68.20,"Honda Motor Co., Ltd."
159.60.152.94,"PayPal, Inc."
36.110.128.175,JOYY Inc.
44.243.99.189,Tulane University
100.48.134.42,"Fi, Inc."
61.195.53.13,"Square Enix Holdings Co., Ltd."
88.208.58.26,TrafficStars Ltd.
217.149.229.44,Stadt Wien (City of Vienna)
88.208.58.27,TrafficStars Ltd.
34.150.228.101,SAP SE
185.151.204.1,Adjust GmbH
91.224.182.45,AS Rus Media LLC
172.96.128.11,Infineon Technologies AG
130.239.2.231,Umeå University
211.233.22.161,The Hankyoreh Media Company
128.176.20.2,Westfälische Wilhelms-Universität Münster
40.71.11.133,Hexagon AB
185.26.123.233,Hostland LLC
137.224.205.22,Wageningen University & Research
44.215.245.85,"ACT, Inc."
204.141.42.199,Star Health and Allied Insurance Co Ltd
163.181.23.221,"Beijing ByteDance Technology Co., Ltd."
195.178.191.37,Bahnhof AB
103.8.52.42,"Samsung Electronics Co., Ltd."
131.216.2.10,"University of Nevada, Las Vegas"
1.13.131.49,Tencent Holdings Limited
3.221.195.135,"Cengage Learning, Inc."
194.254.37.207,Institut National de la Statistique et des Études Économiques (INSEE)
131.252.5.74,Portland State University
3.65.41.57,Personio GmbH
43.153.253.216,"H3C Technologies Co., Limited"
44.232.44.141,"DivvyPay, Inc."
18.197.86.47,Haufe-Lexware GmbH & Co. KG
134.76.176.197,Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen
80.75.66.231,Civic Computing Limited
54.76.90.51,GameDistribution B.V.
139.18.16.60,Universität Leipzig
168.62.181.108,"LongIsland.com, Inc."
193.14.90.197,Dipcon AB
35.196.128.191,"Poynter Institute for Media Studies, Inc."
130.18.0.109,Mississippi State University
217.149.156.98,"Vueling Airlines, S.A."
178.248.236.10,PIK Group
128.233.250.10,University of Saskatchewan
145.221.181.229,ING Groep N.V.
223.70.194.61,TravelSky Technology Limited
62.84.242.27,Flexwebhosting BV
106.3.18.232,"OnePlus Technology (Shenzhen) Co., Ltd."
202.214.74.228,Pia Corporation
98.96.224.72,TravelSky Technology Limited
52.33.18.97,Sony Pictures Entertainment Inc.
128.175.240.195,UniProt Consortium
139.18.110.147,Universität Leipzig
20.23.199.179,Netatmo SAS
212.128.131.25,Universidad de Salamanca
94.130.142.35,Open-Meteo
198.137.233.30,ASTM International
194.206.126.204,Orange S.A.
198.54.96.130,"Supplyframe, Inc."
84.16.253.1,"HostArmada, Inc."
40.113.177.19,Microsoft Corporation
134.76.22.1,Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen
220.197.34.83,"NetEase, Inc."
20.49.110.144,Microsoft Corporation
3.130.126.83,ASTM International
131.246.120.212,Technische Universität Kaiserslautern
20.66.38.45,"American Academy of Ophthalmology, Inc."
34.49.34.96,Hostelworld Group
44.215.118.144,"Amazon.com, Inc."
137.151.116.203,"California State University, Fullerton"
130.202.228.253,U.S. Department of Energy (Argonne National Laboratory)
95.172.90.116,Ex Libris Ltd.
13.41.235.238,The Cochrane Collaboration
128.139.7.33,The Hebrew University of Jerusalem
219.232.207.93,Beijing Municipal Government
203.119.238.19,Cainiao Smart Logistics Network Limited
213.33.117.249,Fronius International GmbH
52.193.217.243,NEC Corporation
195.38.23.17,CROC Incorporated
51.137.22.54,Arc'teryx Equipment Inc.
172.212.128.192,Banco Central do Brasil
210.140.139.132,Pixiv Inc.
210.140.139.137,Pixiv Inc.
35.190.33.81,Payoneer Inc.
198.212.64.54,"Harley-Davidson Motor Company Group, LLC"
50.207.228.242,"American Academy of Ophthalmology, Inc."
202.6.213.113,PT Bank Central Asia Tbk
49.12.114.118,Muffin Group
52.140.110.202,Microsoft Corporation
20.190.190.133,Microsoft Corporation
51.143.208.26,Microsoft Corporation
54.74.105.168,Sixt SE
68.232.128.201,"Cisco Systems, Inc."
54.78.134.100,Red Gate Software Ltd
98.89.99.187,"A360 Media, LLC"
184.72.235.45,"Keeper Security, Inc."
100.22.119.158,"California State University, Northridge"
130.111.30.135,University of Maine System
3.37.121.11,LG Uplus Corporation
54.215.78.176,Campaign Monitor Pty Ltd
222.138.1.61,Prada S.p.A.
134.60.1.11,Universität Ulm
208.93.230.27,Chatango LLC
13.80.110.146,SGS Société Générale de Surveillance SA
182.22.16.123,Yahoo Japan Corporation
34.224.118.43,Druva Inc.
118.126.69.55,Pinduoduo Inc.
52.2.255.253,Elsevier Inc.
194.85.30.251,Ministry of Foreign Affairs of the Russian Federation
155.102.55.29,"Baidu Online Network Technology (Beijing) Co., Ltd."
193.62.193.83,European Molecular Biology Laboratory (EMBL)
209.38.224.22,OptiMonk International Zrt.
132.203.246.8,Université Laval
221.122.85.69,"Beijing Dangdang Kewen E-commerce Co., Ltd."
47.112.112.25,"Ruijie Networks Co., Ltd."
44.224.64.152,The Regents of the University of California
3.229.24.43,SendtoNews Video Inc.
63.140.36.107,"Everyday Health, Inc."
131.113.132.12,Keio University
61.241.55.16,China Literature Limited
114.94.162.183,China Literature Limited
129.119.235.250,Southern Methodist University
204.2.197.84,Dstillery Inc.
83.96.239.49,Scribbr B.V.
20.246.118.126,Douglas Harper
91.221.164.92,Novatek OAO
35.158.127.51,Olam Food Ingredients (OFI)
61.135.231.28,Ministry of Finance of the People's Republic of China
3.74.116.178,Bayerische Motoren Werke AG
67.23.116.161,"Zeno Media, LLC"
34.8.249.45,Protected.net Group Limited
52.228.84.38,Microsoft Corporation
20.105.232.2,Microsoft Corporation
134.245.44.81,Christian-Albrechts-Universität zu Kiel
66.194.187.17,"Micro Electronics, Inc."
36.133.24.197,China Mobile Limited
200.3.14.15,Latin American and Caribbean Internet Addresses Registry (LACNIC)
35.190.82.175,"CyberAgent, Inc."
52.130.2.45,Unity Software Inc.
82.202.247.83,Izvestia JSC
81.19.92.86,Rambler Group
192.55.208.20,"ALSAC/St. Jude Children's Research Hospital, Inc."
52.26.250.206,"Bodybuilding.com, LLC"
134.147.64.8,Ruhr-Universität Bochum
81.163.23.245,"Tilda Publishing, Ltd."
52.173.94.173,"Blackbaud, Inc."
150.217.5.54,Università degli Studi di Firenze
88.198.21.111,Martin Prikryl
162.215.2.16,Digital Content Next
134.93.178.200,Johannes Gutenberg-Universität Mainz
44.218.112.20,ForeFlight LLC
159.125.78.155,"Intercontinental Exchange, Inc."
85.118.181.5,Moscow Exchange
148.62.70.179,NuData Security Inc.
134.193.44.11,University of Missouri-Kansas City
159.26.226.80,"The Christian Broadcasting Network, Inc."
165.100.253.180,Xiaomi Corporation
103.55.149.32,National Australia Bank Limited
193.30.119.52,Filemail AS
193.30.119.51,Filemail AS
185.26.104.169,NETIM SARL
120.46.34.42,Babytree Group
74.112.186.165,"Box, Inc."
34.107.224.99,"All About, Inc."
91.136.8.51,Telefónica Germany GmbH & Co. OHG
35.205.30.81,City A.M. Limited
185.78.172.240,ReadSpeaker Holding B.V.
185.129.96.84,StarLine LLC
52.228.84.35,FlexJobs Corporation
35.244.179.68,Rakuten Viki Inc.
130.44.210.14,American Mathematical Society
34.160.71.213,"Setmore, Inc."
116.162.169.116,"Beijing Linglong Tech Co., Ltd."
40.118.9.5,Canon Inc.
199.185.178.81,OpenBSD Project
195.134.65.121,National and Kapodistrian University of Athens
54.160.25.132,"Resy Network, Inc."
140.109.5.50,Academia Sinica
147.32.252.142,Czech Technical University in Prague
45.120.70.179,Korean Broadcasting System (KBS)
20.191.109.50,SanMar Corporation
209.201.52.210,New York Public Radio
78.155.198.101,Igooods LLC
100.52.14.90,The New York Times Company
185.78.172.241,ReadSpeaker Holding B.V.
103.52.144.131,PT Arkadia Digital Media Tbk
192.30.252.153,Greenshot e.V.
20.247.40.76,"Samsung Electronics Co., Ltd."
128.180.6.1,Lehigh University
147.83.194.120,Universitat Politècnica de Catalunya
103.143.17.146,"Beijing Xieli Zhucheng Technology Co., Ltd."
35.227.244.195,"BMW of North America, LLC"
193.146.3.222,Instituto Cervantes
52.141.217.89,"Webcollage, Inc."
20.77.159.110,Refinitiv US LLC
91.201.60.5,Oderland Webbhotell AB
185.184.254.10,Shoptet s.r.o.
3.136.175.48,"Invaluable, LLC"
128.203.153.102,"Micron Technology, Inc."
134.171.42.5,European Southern Observatory
98.87.171.150,"Woot, Inc."
52.143.247.23,"TokenEx, LLC"
81.236.57.55,Telia Company AB
131.239.114.114,SharkNinja Operating LLC
119.235.210.174,Perum LKBN Antara
183.182.92.184,Perum LKBN Antara
162.136.80.66,"The Hartford Financial Services Group, Inc."
143.166.28.113,Dell Technologies Inc.
43.205.37.183,Lenskart Solutions Private Limited
128.180.152.1,Lehigh University
81.89.183.12,Saint Petersburg State University
149.32.227.114,BAE Systems plc
194.36.162.115,Eesti Rahvusringhääling (ERR)
91.199.251.7,Aladdin R.D. LLC
107.21.98.143,QRZ LLC
35.244.251.3,"Glean Technologies, Inc."
54.150.49.130,"Fuji News Network, Inc."
54.67.122.174,LLVM Foundation
119.39.74.142,"Shanghai Bilibili Technology Co., Ltd."
54.74.140.173,Storyly Inc.
95.67.63.13,National Public Broadcasting Company of Ukraine
52.86.72.49,"Salsify, Inc."
18.232.253.218,"Salsify, Inc."
144.122.145.153,Middle East Technical University
185.71.67.17,SuperJob LLC
138.253.13.159,The University of Liverpool
131.154.52.31,Istituto Nazionale di Fisica Nucleare (INFN)
185.16.44.89,LVMH Moët Hennessy Louis Vuitton SE
194.36.162.137,Eesti Rahvusringhääling (ERR)
81.28.224.31,Variomedia AG
194.8.63.90,Organization for Security and Co-operation in Europe
212.224.70.30,First Colo GmbH
4.216.205.141,Reliance Industries Limited
195.64.155.20,Center of Ukrainian Internet Names (UKRNAMES)
18.232.254.23,"Chegg, Inc."
91.236.122.159,wallstreet:online AG
35.188.0.217,"Adara, Inc."
193.149.173.3,Memorial University of Newfoundland
95.128.178.66,LLC Servionica
18.177.169.227,"Nintendo Co., Ltd."
3.223.49.132,Mattel163 Limited
193.110.189.179,SportSolution B.V.
194.84.71.131,Open Integration Inc.
192.225.158.132,Jumia Group
143.89.190.139,The Hong Kong University of Science and Technology
52.174.7.133,Israeli Public Broadcasting Corporation
23.102.21.198,Texthelp Ltd.
185.151.204.203,Adjust GmbH
43.154.252.31,Shanghai DZH Limited
4.216.205.136,Inland Revenue Board of Malaysia
128.123.128.234,New Mexico State University
3.225.220.37,"Autodesk, Inc."
172.212.128.196,Northwestern Memorial HealthCare
140.116.229.1,National Cheng Kung University
98.88.66.239,"Autodesk, Inc."
52.57.137.250,advolution GmbH
80.64.109.170,Open Integration Inc.
193.37.157.43,Cryptographic Service Provider LLC
20.209.163.226,"IGI Global, Inc."
18.209.206.50,"Edelman Public Relations Worldwide, LLC"
140.77.166.178,École Normale Supérieure de Lyon
170.249.211.218,WPMet LLC
162.125.2.21,Dropbox Inc.
91.221.164.38,OOO Livemaster
185.128.239.11,Overblog SAS
132.187.1.43,Julius-Maximilians-Universität Würzburg
159.226.7.2,China Internet Network Information Center
37.17.95.103,A1 Telekom Austria Group
35.163.146.4,"PagerDuty, Inc."
101.201.70.32,Cheetah Mobile Inc.
34.252.131.162,ATG Media Holdings Limited
153.90.2.127,Montana State University
130.234.6.170,University of Jyväskylä
138.197.6.175,"Ruby Central, Inc."
157.86.191.240,Fundação Oswaldo Cruz
43.175.134.104,Futu Holdings Limited
35.186.233.217,MonsterInsights LLC
16.148.167.93,"Aimtell, Inc."
180.101.190.53,"Shanghai 2345 Network Technology Co., Ltd."
20.86.211.246,Joint United Nations Programme on HIV/AIDS (UNAIDS)
66.231.91.36,"Seven & i Holdings Co., Ltd."
79.142.30.136,QIWI plc
98.85.145.184,"DHI Group, Inc."
131.91.103.21,Florida Atlantic University
149.31.1.20,The New School
35.207.116.225,Erli.pl S.A.
40.81.153.108,UK Research and Innovation
52.21.250.113,"ActiveProspect, Inc."
193.200.37.132,Allo Group LLC
134.209.153.173,"Programiz, Inc."
72.22.93.4,Reclaim Hosting LLC
81.171.6.76,Rudaw Media Network
52.117.136.103,"Japan Guide Co., Ltd."
193.2.254.23,Academic and Research Network of Slovenia (ARNES)
34.95.110.88,Ferns N Petals Pvt. Ltd.
13.68.29.136,Fluke Corporation
161.200.254.81,Chulalongkorn University
129.176.3.12,Mayo Foundation for Medical Education and Research
51.159.62.140,Scaleway SAS
91.212.89.224,Government of Uzbekistan
52.19.57.181,Condé Nast France SAS
81.88.58.195,Nominalia Internet S.L.
213.219.36.190,Alpine Linux Development Team
34.90.225.198,Webador B.V.
108.44.238.29,"BetaNews, Inc."
185.151.204.206,Adjust GmbH
64.98.39.3,ZenBusiness Inc.
3.236.206.93,Adobe Inc.
3.236.206.94,Adobe Inc.
139.198.16.252,"Beijing SegmentFault Technology Co., Ltd."
54.163.125.154,"Spoonflower, Inc."
54.89.108.111,UXCam Inc.
47.246.167.83,Daraz Group
129.227.29.104,"OnePlus Technology (Shenzhen) Co., Ltd."
129.227.29.254,"OnePlus Technology (Shenzhen) Co., Ltd."
20.248.216.49,Australian Government
185.165.123.108,ООО ТЭК-Торг (Tek-Torg LLC)
52.209.64.1,Callsign Inc.
152.66.115.53,Budapest University of Technology and Economics
93.125.30.168,"Reliable Software, Ltd."
149.10.125.56,New York State Education Department
71.243.136.99,"360 PSG, Inc."
217.11.198.215,comdirect bank AG
111.124.203.38,"NetEase, Inc."
31.186.18.142,Turkticaret.Net Yazilim Hizmetleri Sanayi ve Ticaret A.S.
3.227.177.139,"Jobvite, Inc."
202.156.53.145,China Southern Airlines Company Limited
184.154.96.243,"TMDHosting, LLC"
34.128.172.121,"CivicPlus, Inc."
193.41.197.4,UAB Lrytas
216.154.194.15,Brightree LLC
134.7.248.184,Curtin University
120.26.40.187,Soulgate Inc.
193.33.128.27,METANET AG
203.209.245.120,"Ant Group Co., Ltd."
130.104.130.20,Université catholique de Louvain
208.95.50.59,"Liberty University, Inc."
213.92.115.123,Istituto della Enciclopedia Italiana fondata da Giovanni Treccani S.p.A.
54.151.47.231,Campaign Monitor Pty Ltd
52.172.219.121,Axis Bank Limited
54.219.217.117,Campaign Monitor Pty Ltd
199.5.50.33,AUDI AG
212.95.66.10,Groupe ParuVendu SAS
192.36.171.237,Swedish University Computer Network (SUNET)
34.128.188.167,Family Zone Cyber Safety Limited
209.107.78.5,Rotary International
35.190.120.34,ARD (Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland)
109.238.88.103,ITECO Oilfield Supply Group LLC
155.102.55.28,"Beijing ByteDance Technology Co., Ltd."
165.225.80.38,"Zscaler, Inc."
194.152.42.150,SC Editura Intact SRL
66.22.85.200,"Fiserv, Inc."
124.74.249.45,"Bank of Communications Co., Ltd."
63.35.109.177,2N Telekomunikace a.s.
180.169.181.75,"Bank of Communications Co., Ltd."
210.28.130.5,Nanjing University
217.13.72.66,IServ GmbH
213.161.149.32,Türkiye İş Bankası A.Ş.
152.10.13.168,Appalachian State University
68.66.248.31,Spitogatos S.A.
167.165.233.29,City of Chicago
12.40.28.146,"W. W. Norton & Company, Inc."
68.66.224.36,"A2 Hosting, Inc."
130.74.126.26,University of Mississippi
85.187.128.56,"A2 Hosting, Inc."
82.132.141.133,Telefónica UK Limited
93.148.195.119,Ministero della Salute (Italian Ministry of Health)
18.215.3.128,"Meta Platforms, Inc."
173.236.87.21,Clarip Inc.
92.205.4.105,Yahoo Inc.
164.41.102.70,Universidade de Brasília
52.228.42.76,Dentons Global Advisors LLC
20.105.216.38,Awaken Realms GmbH
194.55.30.42,Deutsche Welle
195.122.191.210,Ableton AG
3.37.113.73,"Korean Air Lines Co., Ltd."
144.2.16.24,LinkedIn Corporation
190.160.0.137,VTR Comunicaciones SpA
129.27.2.158,Graz University of Technology
35.211.72.108,"Heartland Payment Systems, LLC"
193.62.24.106,Loughborough University
20.42.128.103,University of Idaho
77.72.45.224,Université de Strasbourg
18.204.46.173,Ethyca Inc.
129.27.200.1,Graz University of Technology
198.135.203.12,"Eyefinity, Inc."
136.226.26.24,"Zscaler, Inc."
129.101.163.86,University of Idaho
54.150.247.228,"Belkin International, Inc."
198.135.203.29,"Eyefinity, Inc."
58.251.27.124,ZTE Corporation
57.182.65.242,"Buzzvil Co., Ltd."
195.69.192.152,Österreichische Bundesbahnen-Holding AG
193.6.52.250,University of Pécs
101.43.153.189,MikeCRM Inc.
216.107.244.67,NCSOFT Corporation
62.103.146.101,SKAI Broadcasting S.A.
52.63.237.70,TPG Telecom Limited
20.48.202.168,Duke University Press
152.3.100.165,Duke University Press
54.242.143.242,North Carolina Education Lottery
44.207.173.122,"Meross Technology Co., Ltd."
20.50.2.86,AB Volvo
195.77.128.153,Comunidad de Madrid
153.112.160.122,AB Volvo
192.31.140.202,Algonomy Software Private Limited
195.243.121.51,Mediengruppe Kreiszeitung GmbH & Co. KG
60.28.204.247,"LeEco (Leshi Internet Information and Technology Corp., Beijing)"
40.126.35.19,Sistema Verdes Mares
4.207.12.89,Barco NV
54.64.174.22,Creema Ltd.
185.55.178.37,Polar Electro Oy
195.89.241.169,Yodel Delivery Network Limited
210.65.113.128,ASUS Cloud Corporation
3.11.187.173,What3words Limited
194.84.16.42,Polyus Gold International Limited
185.6.178.139,Entain plc
116.7.231.124,Autel Intelligent Technology Corp. Ltd.
77.93.211.134,"InMeteo, s.r.o."
20.116.42.0,Microsoft Corporation
210.65.113.110,ASUS Cloud Corporation
124.215.204.170,Infomart Corporation
84.201.136.178,InAppStory LLC
198.84.14.116,WestJet Airlines Ltd.
193.140.13.218,Türkiye Bilimsel ve Teknolojik Araştırma Kurumu (TÜBİTAK)
54.197.228.33,"Mars, Incorporated"
109.248.38.131,Za Rulem Publishing House
44.237.26.178,Autel Intelligent Technology Corp. Ltd.
194.127.250.62,Institut National de l'Audiovisuel
104.209.192.206,"Centris, a division of the Quebec Federation of Real Estate Boards"
178.172.250.246,"Reliable Software, Ltd."
47.241.39.178,Daraz Group
43.135.105.195,Tencent Holdings Limited
129.226.103.17,Tencent Holdings Limited
40.126.62.130,Surfline/Wavetrak Inc.
13.52.20.127,Campaign Monitor Pty Ltd
192.241.228.85,Airfind Corporation
54.176.81.4,Campaign Monitor Pty Ltd
192.241.229.243,Airfind Corporation
42.194.227.144,Nanfang Media Group
193.108.106.98,ŠKODA AUTO a.s.
200.61.205.50,Telecom Argentina S.A.
44.221.211.200,Arvig Enterprises Inc.
35.166.203.173,"Link.com, Inc."
185.117.132.1,IQ Option Ltd.
52.30.9.119,Paramount Global
211.133.244.119,United Arrows Ltd.
35.153.145.193,Frontline Technologies Group LLC
143.90.14.137,SoftBank Corp.
49.4.46.170,"Huawei Technologies Co., Ltd."
35.240.65.13,Allterco Robotics EOOD
13.192.105.97,"TSUTAYA Co., Ltd."
43.206.43.157,"TSUTAYA Co., Ltd."
52.174.150.25,Digitaliseringsstyrelsen
130.231.241.46,University of Oulu
51.250.118.217,Sravni.ru LLC
200.17.209.3,Universidade Federal do Paraná
200.142.198.44,"Honda Motor Co., Ltd."
216.66.17.35,"Evony, LLC"
80.158.80.50,Cornelsen Verlag GmbH
54.171.50.108,"Livestorm, Inc."
138.40.78.94,"City, University of London"
193.166.29.155,University of Oulu
93.95.241.77,Kazakhtelecom JSC
35.207.244.219,Resfeber Labs Private Limited
91.228.54.78,Tricolor TV LLC
91.217.227.145,INVITRO LLC
34.98.101.108,Manash Lifestyle Pvt. Ltd.
44.232.45.52,University of San Francisco
113.38.164.82,"PAGE ONE Co., Ltd."
54.37.94.192,Haufe-Lexware GmbH & Co. KG
195.195.116.1,The National Gallery
185.203.239.196,VEON Ltd.
164.15.253.17,Université Libre de Bruxelles
93.186.225.194,VK Company Limited
209.15.37.7,Webnames.ca Inc.
143.248.155.12,Korea Advanced Institute of Science and Technology
134.155.96.211,Universität Mannheim
199.40.253.51,Blue Dart Express Limited
52.40.196.217,BuySellAds.com Inc.
85.111.3.23,MAPA Mobilya ve Aksesuar Pazarlama A.Ş.
67.221.227.222,"RealTime Fantasy Sports, Inc."
20.239.211.144,"Databricks, Inc."
209.15.37.19,Webnames.ca Inc.
91.217.227.146,INVITRO LLC
204.102.64.19,Los Angeles Community College District
59.82.9.177,"Shenzhen iMyfone Technology Co., Ltd."
203.175.9.128,PT. Inilah Dot Com
27.221.125.159,"Beijing Tianji Information Technology Co., Ltd."
160.75.126.253,Istanbul Technical University
190.55.252.185,Telecentro S.A.
185.113.25.50,"Clique Brands, Inc."
62.244.244.195,Bankalararası Kart Merkezi A.Ş.
162.215.3.16,QHoster Ltd.
35.227.249.27,WonderPush SAS
130.220.1.97,University of South Australia
35.244.16.242,Uttar Pradesh Power Corporation Limited
213.252.143.209,The New Yorker Bekleidungs GmbH
100.51.247.76,Vanta Inc.
40.114.7.204,"ANSYS, Inc."
178.159.32.140,T1 Group
18.116.11.251,Wine-Searcher Ltd.
195.35.113.60,Blue Letter Bible
162.55.133.188,Sirv Limited
121.241.245.17,Allsec Technologies Limited
3.133.186.17,"Discovery Education, Inc."
36.67.56.46,PT Astra Honda Motor
44.217.106.106,"Virtualmin, Inc."
35.181.139.242,Commanders Act SAS
52.47.63.117,Commanders Act SAS
35.231.26.64,"Idera, Inc."
209.133.198.220,Core77 Inc.
212.81.119.3,SwissSign AG
116.202.109.71,win.rar GmbH
178.248.237.182,Sunlight Group
98.88.98.232,"PrizeGrab, LLC"
84.205.246.138,General Secretariat for Information Systems (Greece)
20.190.144.161,Elgiganten A/S
67.202.92.65,WPX Hosting Ltd
43.229.13.208,"National Identity Wing, Government of Bangladesh"
209.59.130.48,Evike.com Inc.
52.230.1.186,Yahoo Taiwan Holdings Limited
128.23.248.203,Medical University of South Carolina
16.58.66.73,"ShopMy, Inc."
67.227.230.58,Evike.com Inc.
34.160.48.158,Guardsquare NV
37.130.193.7,Mobile TeleSystems PJSC
203.82.24.14,Squiz Group Pty Ltd.
172.214.149.164,Mayo Foundation for Medical Education and Research
193.108.186.160,FinecoBank S.p.A.
65.38.108.25,Wix.com Ltd
52.68.187.61,"Matsui Securities Co., Ltd."
194.232.72.14,ORS Österreichische Rundfunksender GmbH & Co KG
92.114.98.4,DEX online Association
185.64.255.1,Squiz Group Pty Ltd.
52.12.121.125,University of San Diego
103.18.3.42,University of Malaya
16.54.60.91,University of New Brunswick
5.175.14.248,airable GmbH
35.175.15.101,"University of Phoenix, Inc."
49.51.181.116,Tencent Holdings Limited
20.190.141.9,Heathrow Airport Limited
92.242.39.57,Sunlight Group
210.188.194.133,OCNK Inc.
210.236.244.76,"GRAS Group, Inc."
185.93.2.248,Adria Media Zagreb d.o.o.
193.50.135.38,Université de Lorraine
34.128.172.98,DuMont Mediengruppe GmbH & Co. KG
103.18.3.80,University of Malaya
194.76.232.186,"State Government of Brandenburg, Germany"
136.143.189.127,"BooksTime, Inc."
34.102.131.81,GROUPE ADEO SA
44.212.163.208,Impel.io Inc.
42.117.1.227,Vietnam News Agency
82.202.192.246,Usedesk LLC
74.178.204.17,City of Amsterdam
133.6.83.226,Nagoya University
18.213.167.26,"GoDaddy.com, LLC (formerly owned by Poynt Co.)"
185.117.168.251,Hostfactory GmbH
62.76.102.220,Usedesk LLC
185.117.169.100,Hostfactory GmbH
106.11.226.180,"Shenzhen Jiguang Technology Co., Ltd."
122.17.135.79,"Hard Off Corporation Co., Ltd."
51.75.52.89,Association for Democratic Reforms
139.17.3.227,FOSSGIS e.V.
178.79.150.123,SamKnows Ltd
94.130.123.203,Cliplister GmbH
54.228.5.230,DICE FM Ltd.
35.244.218.227,"ToDesktop, Inc."
50.207.65.115,Subaru Corporation
193.134.75.169,Baloise Group
68.218.134.192,Swinburne University of Technology
137.117.254.156,Wärtsilä Corporation
160.74.72.69,Japan Science and Technology Agency (JST)
195.142.244.190,Türkiye Vakıflar Bankası T.A.O.
213.156.45.73,Automobili Lamborghini S.p.A.
103.102.202.72,Kuaishou Technology
103.102.202.84,Kuaishou Technology
49.51.168.209,"Nubia Technology Co., Ltd."
193.137.122.15,Universidade Nova de Lisboa
52.137.105.241,Euromonitor International Ltd.
195.177.116.33,"Internet Invest, Ltd. dba Imena.ua"
158.227.0.15,Universidad del País Vasco/Euskal Herriko Unibertsitatea
52.224.141.199,"American Institute of Certified Public Accountants, Inc."
78.27.225.76,"Internet Invest, Ltd. dba Imena.ua"
185.245.164.154,OVS S.p.A.
18.216.7.101,"Knock, Inc."
14.143.112.218,Mid-Day Infomedia Limited
136.186.255.142,Swinburne University of Technology
3.151.52.207,Miami University
20.170.106.16,n8n GmbH
85.153.149.54,Kariyer.net Elektronik Yayıncılık ve İletişim Hizmetleri A.Ş.
200.19.65.210,Sistema Meteorológico do Paraná (SIMEPAR)
185.85.0.35,Lidl Stiftung & Co. KG
39.102.67.60,DouYu International Holdings Limited
103.56.190.111,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia"
85.195.127.146,1C International LLC
31.129.58.114,JuicyScore Pte. Ltd.
35.187.169.250,Bytro Labs GmbH
85.195.127.148,1C International LLC
54.82.137.161,"Clipcentric, Inc."
51.195.68.171,win.rar GmbH
159.180.133.131,AbbVie Inc.
66.54.108.57,"Carter's, Inc."
15.206.201.97,HealthPlix Technologies Private Limited
138.246.102.22,Bayerische Staatsbibliothek
158.75.1.45,Uniwersytet Mikolaja Kopernika w Toruniu
23.22.242.106,Match Masters Ltd.
5.254.117.201,Mijn.Host B.V.
209.170.205.126,"Illumina, Inc."
136.153.8.80,Australian Capital Territory Government
188.166.104.92,Open-Xchange AG
143.229.1.17,Vassar College
83.240.239.180,Radio Popular Electrodomesticos SA
35.231.12.44,"American Booksellers Association, Inc."
213.134.62.135,Institución Ferial de Madrid
3.123.96.42,Site.pro LLC
13.75.218.45,Australian Competition and Consumer Commission
103.224.182.253,WJ Partners Pty Ltd
141.166.35.106,University of Richmond
198.90.68.32,"CommScope Holding Company, Inc."
212.224.114.207,Verbraucherzentrale Bundesverband e.V.
20.190.148.164,"Alcoholics Anonymous World Services, Inc."
20.167.95.54,University of Canterbury
180.222.116.12,Yahoo Inc.
37.247.239.156,Telewizja Polsat Sp. z o.o.
37.247.239.155,Telewizja Polsat Sp. z o.o.
162.13.83.46,Indigo Stream Technologies Ltd
112.74.1.104,MoYoung Ltd.
194.69.184.10,Canon Europa N.V.
34.149.122.18,"Locally, LLC"
172.172.255.228,Mediterranean Shipping Company S.A.
199.233.217.205,"The NetBSD Foundation, Inc."
23.20.240.211,Apify Technologies s.r.o.
74.82.62.69,Tony Robbins Productions Inc.
129.146.61.229,"Shenzhen Blurams Technology Co., Ltd."
54.218.6.196,"Intellimize, Inc."
195.43.52.76,Bundesministerium für Wirtschaft und Klimaschutz (BMWK)
52.71.14.129,SecureWorks Inc.
180.210.64.164,Interpark Holdings Corporation
194.6.194.190,Steinberg Media Technologies GmbH
185.85.1.151,Lidl Stiftung & Co. KG
139.219.67.206,Nestlé S.A.
168.61.6.174,"MeridianLink, Inc."
40.73.45.237,Nestlé S.A.
34.8.147.172,Broadcom Inc.
34.107.186.64,Neat AS
141.117.126.121,Toronto Metropolitan University
62.193.63.42,Établissement public du musée d'Orsay et de l'Orangerie
34.194.80.19,"When I Work, Inc."
52.21.112.130,Brookhaven National Laboratory
58.23.47.225,"Akuvox Networks Co., Ltd."
141.147.176.138,Vector Inc.
208.81.33.113,"MeridianLink, Inc."
152.160.49.19,"Attendance on Demand, Inc."
202.126.62.41,Television Broadcasts Limited
202.165.148.114,China Airlines Ltd.
3.236.206.95,Adobe Inc.
202.126.48.122,Television Broadcasts Limited
20.190.190.132,"Sport Lisboa e Benfica - Futebol, SAD"
178.248.233.29,PECOM Group
185.65.151.3,Dixy Group JSC
112.84.131.64,"Beijing Beida Founder Information Industry Group Co., Ltd."
222.94.225.196,"Beijing Beida Founder Information Industry Group Co., Ltd."
134.82.129.29,Bucknell University
